OffspringID,InferredDad,InferredMum,Probability
KCHILGMR21p_507,*,#,1
KCHILGMR21p_510,*,#,1
KCHILGMR21p_511,KTAHI20_68,#,1
KCHILGMR21p_512,*,#,1
KCHILGMR21p_513,*,#,1
KCHILGMR21p_514,*,KTAHI20_74,1
KCHILGMR21p_515,*,#,1
KCHILGMR21p_516,*,#,1
KCHILGMR21p_517,*,#,1
KCHILGMR21p_518,*,#,1
KCHILGMR21p_519,*,#,1
KCHILGMR21p_520,KTAHI20_157,#,1
KCHILGMR21p_521,*,#,1
KCHILGMR21p_522,*,#,1
KCHILGMR21p_523,*,#,1
KCHILGMR21p_524,KTAHI20_150,#,1
KCHILGMR21p_525,*,#,1
KCHILGMR21p_526,*,#,1
KCHILGMR21p_527,*,#,1
KCHILGMR21p_528,*,#,1
KCHILGMR21p_529,*,#,1
KCHILGMR21p_530,KCHILGN20_54,#,1
KCHILGMR21p_531,*,KTAHI20_197,1
KCHILGMR21p_532,*,KTAHI20_199,1
KCHILGMR21p_533,*,#,1
KCHILGMR21p_534,*,#,1
KCHILGMR21p_535,*,#,1
KCHILGMR21p_536,*,#,1
KCHILGMR21p_537,*,#,1
KCHILGMR21p_538,*,#,1
KCHILGMR21p_539,*,#,1
KCHILGMR21p_540,*,#,1
KCHILGMR21p_541,*,KTAHI20_47,1
KCHILGMR21p_542,*,KKELS20_8,1
KCHILGMR21p_543,*,#,0.9992
KCHILGMR21p_544,*,#,1
KCHILGMR21p_545,*,#,1
KCHILGMR21p_546,*,#,1
KCHILGMR21p_547,*,#,1
KCHILGMR21p_548,*,#,1
KCHILGMR21p_549,KCHILGN20_113,#,1
KCHILGMR21p_550,KCHILGN20_71,#,1
KCHILGMR21p_551,*,#,1
KCHILGMR21p_552,*,#,1
KCHILGMR21p_553,*,#,1
KCHILGMR21p_554,KTAHI20_68,KTAHI20_69,1
KCHILGMR21p_555,*,#,1
KCHILGMR21p_556,*,#,1
KCHILGMR21p_557,*,KKELS20_34,1
KCHILGMR21p_558,*,#,1
KCHILGMR21p_559,*,#,1
KCHILGMR21p_560,*,#,1
KCHILGMR21p_561,*,#,1
KCHILGMR21p_562,*,#,1
KCHILGMR21p_563,*,KTAHI20_216,1
KCHILGMR21p_564,*,KTAHI20_183,1
KCHILGMR21p_565,KKELS20_38,#,1
KCHILGMR21p_566,KTAHI20_181,#,1
KCHILGMR21p_567,*,#,1
KCHILGMR21p_568,*,#,1
KCHILGMR21p_569,*,#,1
KCHILGMR21p_570,KKELS20_13,#,1
KCHILGMR21p_571,*,#,1
KCHILGMR21p_572,*,#,1
KCHILGMR21p_573,*,KTAHI20_199,1
KCHILGMR21p_574,*,KTAHI20_69,1
KCHILGMR21p_575,*,KCHILGN20_131,1
